C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	IN
90.9 	76.0 	20009	93.6 	66.8 	97.1 	-0.7 	-5.2 	79505	108.5 	0.70 	-1 
89.7 	75.4 	20058	91.8 	65.5 	94.9 	-0.8 	-7.1 	78273	107.7 	0.68 	0 
89.6 	74.8 	20095	91.6 	64.6 	95.8 	-1.0 	-4.3 	77040	107.1 	0.67 	1 
88.9 	74.6 	19990	90.5 	62.3 	95.9 	-2.7 	-3.9 	75808	106.5 	0.66 	1 
87.8 	74.2 	20131	90.5 	63.9 	95.3 	1.3 	-3.3 	77118	105.6 	0.65 	1 
89.3 	75.1 	20160	91.5 	63.8 	95.1 	-0.8 	-4.9 	78427	106.7 	0.64 	1 
90.2 	76.7 	20186	91.5 	65.4 	97.3 	0.1 	-2.9 	79737	108.2 	0.65 	1 
91.2 	77.0 	20265	91.9 	66.4 	97.2 	-1.3 	-3.7 	81191	110.1 	0.65 	1 
90.8 	76.6 	20362	91.7 	66.1 	98.8 	0.2 	-2.7 	82646	106.7 	0.63 	1 
92.0 	78.2 	20688	93.8 	68.4 	98.1 	0.5 	-1.1 	84100	109.7 	0.63 	1 
92.8 	78.7 	21175	93.7 	69.2 	98.8 	3.4 	-1.4 	85681	109.3 	0.63 	1 
93.6 	79.1 	21135	94.9 	70.3 	101.4 	3.1 	-0.2 	87263	110.4 	0.64 	1 
93.0 	79.1 	21199	95.6 	71.3 	96.8 	1.2 	-2.2 	88844	108.8 	0.65 	1 
93.9 	80.2 	21179	97.0 	72.7 	99.6 	0.7 	-1.3 	89596	109.4 	0.65 	1 
94.5 	81.0 	21208	97.5 	73.3 	99.8 	2.1 	1.4 	90347	110.3 	0.64 	1 
95.1 	81.8 	21191	98.7 	74.2 	104.2 	1.8 	-0.5 	91099	110.7 	0.63 	1 
92.6 	80.5 	21018	95.9 	74.3 	100.5 	-0.1 	-3.1 	90366	108.9 	0.64 	1 
94.6 	81.8 	21287	97.3 	75.2 	98.8 	1.7 	-0.6 	89632	110.1 	0.65 	1 
95.5 	82.3 	21354	98.3 	76.4 	101.7 	0.9 	-1.3 	88899	110.6 	0.66 	1 
96.7 	83.1 	21401	99.5 	77.7 	103.9 	0.3 	-2.1 	88817	110.7 	0.65 	1 
94.8 	82.3 	21128	96.6 	76.8 	103.0 	0.3 	-0.3 	88734	109.2 	0.63 	1 
95.1 	82.6 	20856	96.5 	75.9 	102.2 	0.4 	-2.5 	88652	109.2 	0.62 	1 
93.6 	80.4 	20945	94.6 	75.6 	102.9 	-1.8 	-3.6 	89813	106.6 	0.61 	1 
94.4 	81.6 	21438	95.3 	75.3 	102.8 	-0.7 	-2.8 	90973	108.4 	0.62 	1 
93.6 	81.1 	20850	93.6 	75.8 	103.2 	0.4 	-3.3 	92134	108.5 	0.62 	1 
94.8 	81.4 	21076	94.9 	75.5 	105.1 	-0.7 	-2.8 	92877	107.7 	0.62 	1 
95.5 	82.0 	21004	95.3 	77.1 	106.5 	0.0 	-3.0 	93621	109.3 	0.62 	1 
